millilitri,	conducibilita
0,		10.85
0.5,		10.75
1,		10.63
1.5,		10.51
2,		10.4
2.5,		10.28
3,		10.19
3.5,		10.08
4,		9.95
4.5,		9.84
5,		9.74
5.5,		9.63
6,		9.53
6.5,		9.71
7,		10.38
7.5,		11.06
8,		11.73
8.5,		12.39
9,		13
9.5,		13.63
10,		14.24
10.5,		14.75
11,		15.31
11.5,		15.74
12,		16.35
12.5,		16.91
13,		17.47
13.5,		18
14,		18.54
14.5,		19.09
15,		19.63
15.5,		20.12
16,		20.64
16.5,		21.19
17,		21.65
17.5,		22.33
18,		22.85
18.5,		23.3
19,		23.8
19.5,		24.3
20,		24.8
20.5,		25.2
21,		25.7
21.5,		26.1
22,		26.6
22.5,		27
23,		27.5
23.5,		27.9
24,		28.4
24.5,		28.8
25,		29.2
